masked_words|abs_decrease_on_replacement
gay/tg|1.0
fraternal|0.9999999999999998
injustices|0.9999999999999993
dallas|0.99999999999987
protesters|0.9999999995679346
bolt|0.9999999994885943
silent|0.9999999744173547
jeered|0.9999999744173547
protesting|0.9999999744173547
convention|0.9999999744173547
audience|0.9999999744173547
bullets|0.999999645229374
climb|0.9999989463195487
climbed|0.9999989463195487
distracted|0.9999989463195487
privileges|0.9999989463195487
escaping|0.9999989463195487
looting|0.9999989463195487
pit|0.9999989463195487
lil|0.9999989463195487
to.d|0.9999989463195487
deaths|0.9999989463195487
momma|0.9999989463195487
siblings|0.9999989463195487
photos|0.9999989463195487
unskilled|0.9999972030294672
fblm|0.9999969457283777
wellsaid|0.9999965839226469
glock|0.9999962299228726
agreed|0.999996024563222
hahahahahahahahahahahahahahahaha|0.9999945332244684
firlmy|0.9999112609954055
strap|0.9986794385803062
pedo|0.998383620431903
loon|0.8999974312906026
chico|0.8899439690816772
femanazis|0.7999999854746088
skunk-ape|0.7999874737552405
mechanics|0.7939048902547283
plumbers|0.7937134755138908
sing|0.7891882857971071
tarzans|0.7825447370194117
cellmate|0.781122207269352
spoke|0.769897938428596
qeerbarge|0.758000032353221
trashy|0.7265145416493832
owed|0.7151564025389912
stillare|0.6690877976227834
prayer|0.6666666496115697
efen|0.6170319295224294
survive|0.6170315475087835
chop|0.6063251954701542
soundless|0.5991024712421731
castrate|0.5967585405347717
usns|0.590897601265552
boots|0.5896062629669793
dummycrap|0.5647946793471251
notebook|0.5205344584109177
randomly|0.49999999998194966
gun|0.49999998720867733
latino|0.49999998720867733
dnc|0.49999998720867733
btw|0.49999947317087845
neighborhood|0.49999947315977433
karvictho|0.49999947315977433
eaten|0.49999947315977433
occupied|0.49999947315977433
deviance|0.49999725341742585
anti-white|0.4999900101056043
swiping|0.49997382329488016
foreigners|0.4999625084375069
evolved|0.48679003491666534
chambering|0.4442926629582947
affirmatively|0.4404213653829842
leeches|0.42523814669526316
explain|0.4127508673134234
beast|0.4108708540298206
decent|0.409671313314625
eeoc|0.40800138793333723
samich|0.4042504599663811
psychiatrist|0.40173174437931103
auxiliary|0.4000216499549655
subhuman|0.4000004774578699
ur|0.40000043209009917
endorsement|0.40000003438318965
officers|0.39999999476979825
blacklivesmatter|0.3996795394450216
liebrals|0.3980638148410593
blackasses|0.39497597825652153
kid|0.39367706625422316
caveat|0.3861999492378836
murderers|0.3827065401099663
muslims|0.37452299177877496
feminists|0.3654718638660489
cleansing|0.36491754266249116
lots|0.3625663710676597
africa|0.36231501004920547
insult|0.354863472392549
taking|0.3499998648526338
arabic|0.34841768856313976
wiping|0.34444026183892906
doctors|0.34412607020666997
christmas|0.33937943578896795
cicero|0.33335799148627376
burning|0.3333333331432129
invited|0.3333333299139698
destroy|0.33333332480578487
fallen|0.33333332480578487
supporter|0.33333332480578487
refused|0.33333328218523606
short|0.33333327701434307
hood|0.3333329821282314
stories|0.33333298212098333
prior|0.33333298210651624
third|0.33333298210651624
dad|0.33333298210646806
fall|0.33333296338174967
attacking|0.3333317094140159
git|0.324834828432766
michael|0.3000758609240644
drop|0.29847962196218353
acting|0.295913346521251
m4|0.29351907421881307
killed|0.2774389464012569
seek|0.268882706094601
consequences|0.268170862775608
possessed|0.26662972924247763
boat|0.2665188658129966
sharp|0.26651398594113407
kitchen|0.2654879457153781
primates|0.263079221848261
sick|0.2542779292537135
citizen|0.24999999360433867
city|0.24999998923194572
watching|0.24999973657988717
gone|0.24999973657988717
mom|0.24999973657988717
cervesa|0.24616270963726591
moooooochel|0.245438294218848
notes|0.2448138193519085
illegals|0.2429228611508402
blm|0.2255111297974322
pull|0.2245871364541928
airplanes|0.22356242400254583
wanted|0.22222198807190902
pedophile|0.21848960001291498
gay|0.21695830626408033
boston|0.2169343763167091
useful|0.21592367954094938
distinguish|0.2159107898245697
districts|0.21221730775868589
hillary|0.21117558941766598
likes|0.21090836536961985
complying|0.2087133752586249
pig|0.20427198274929093
brianne|0.2020235909914422
agreement|0.20029825191747702
round|0.20009921099107048
ya|0.2000796620474487
mamma|0.20003945124192085
wedlock|0.20001178478262477
lifestyle|0.20000348700408932
kneel|0.20000246645833203
integration|0.20000209539292949
lazy|0.20000006242694718
mooch-elles|0.20000005505107551
protecting|0.20000000435253676
mowing|0.20000000232313186
islam|0.20000000141017132
bumper|0.20000000121165393
consumption|0.20000000000019535
u.s|0.19999999999968354
asian|0.1999999948837406
okay|0.1999999948835255
order|0.19999999488347092
